Cijena,Kilometraza,Zapremina_motora,Snaga_motora,Registrovan,Godina,Brand_enc,Model_enc,Tip_enc,Gorivo_enc
59500.0,200000.0,2.0,155.0,1,2013.0,30,263,4,0
15999.0,338784.0,2.2,100.0,1,2010.0,30,147,2,1
35450.0,182566.0,1.6,88.0,0,2018.0,34,27,6,1
8000.0,293000.0,1.6,80.0,1,2007.0,6,169,6,1
17500.0,154838.0,1.6,77.0,0,2012.0,13,254,0,1
23500.0,210000.0,1.6,88.0,0,2016.0,45,441,4,1
44000.0,240000.0,2.2,110.0,1,2016.0,14,479,12,1
29999.0,199000.0,1.6,88.0,1,2016.0,45,441,4,1
28800.0,162000.0,1.6,85.0,0,2019.0,45,328,2,1
63000.0,162999.0,2.0,140.0,0,2017.0,2,514,4,1
46900.0,213500.0,2.0,110.0,0,2016.0,45,550,10,1
48800.0,80000.0,2.0,85.0,1,2020.0,45,328,4,1
33600.0,135000.0,1.6,96.0,0,2018.0,36,542,4,1
20900.0,269000.0,2.0,100.0,1,2012.0,22,520,10,1
119000.0,160121.0,3.0,190.0,0,2019.0,1,463,4,1
65990.0,112997.0,2.0,180.0,0,2019.0,30,152,4,1
13800.0,230000.0,1.6,85.0,1,2012.0,46,573,2,1
22900.0,235657.0,2.0,103.0,0,2013.0,45,441,4,1
7300.0,180000.0,1.2,51.0,0,2012.0,14,361,5,0
12900.0,275000.0,1.4,66.0,0,2015.0,45,450,4,1
39990.0,12000.0,1.0,86.0,0,2023.0,13,60,10,0
115900.0,72000.0,3.0,210.0,0,2019.0,1,463,12,1
72000.0,155000.0,2.2,143.0,1,2020.0,30,311,10,1
16200.0,295000.0,3.0,176.0,1,2009.0,1,101,4,1
14950.0,160000.0,1.5,66.0,0,2014.0,36,365,0,1
34900.0,122571.0,2.0,86.0,0,2017.0,2,33,4,1
72000.0,135400.0,2.0,140.0,1,2018.0,1,460,12,1
22990.0,282776.0,3.0,155.0,0,2008.0,30,489,4,1
17500.0,188000.0,1.6,73.0,0,2016.0,34,32,2,1
13450.0,328987.0,2.0,103.0,1,2010.0,45,441,2,1
8400.0,262153.0,1.6,82.0,0,2008.0,6,169,4,1
63900.0,143488.0,2.0,228.0,0,2018.0,45,328,4,0
2350.0,349400.0,1.9,66.0,0,1999.0,45,441,4,1
9000.0,389521.0,3.0,160.0,0,1995.0,2,79,4,0
26900.0,164780.0,1.5,88.0,1,2017.0,14,372,10,1
37900.0,94790.0,2.0,110.0,0,2016.0,1,97,4,1
9700.0,278000.0,2.0,80.0,0,2011.0,30,130,4,1
24900.0,234000.0,2.0,103.0,1,2012.0,45,550,4,1
11900.0,187274.0,1.6,68.0,0,2014.0,6,163,5,1
29999.0,211000.0,1.6,88.0,0,2016.0,45,441,4,1
53000.0,247000.0,3.0,200.0,1,2015.0,1,101,2,1
